rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
18,char,cosine_delta,83,491,-1.0497489779487055,-2.6397648211085425,Roshi
18,char,burrows_delta,343,491,0.40668374532424617,-2.0594237563479827,Caballero
19,mfw,cosine_delta,125,491,-0.6812035159680764,-2.658517002768417,Kerchak
19,mfw,burrows_delta,190,491,-0.3604126734748088,-2.444222230690817,Davodka
19,char,cosine_delta,100,491,-0.9577422725326487,-2.2382333231019045,Fresh laDouille
19,char,burrows_delta,326,491,0.2904391283818895,-2.2040461570043037,L’Entourage
20,mfw,cosine_delta,177,491,-0.3823647055393825,-2.627764153720197,Sofiane
20,mfw,burrows_delta,226,491,-0.19641235572797874,-2.6789089744279986,Sofiane
20,char,cosine_delta,75,491,-1.123139880745827,-2.3216509888661654,Werenoi
20,char,burrows_delta,340,491,0.4325294087029026,-2.411785763872408,Dibson
21,mfw,cosine_delta,171,491,-0.3799377280627777,-2.7996509788217216,Mister You
21,mfw,burrows_delta,185,491,-0.3629104688861458,-2.250041817762454,SCH
21,char,cosine_delta,72,491,-1.1158351427800157,-2.6269514159947436,Rimkus
21,char,burrows_delta,339,491,0.3815665033279189,-2.4582582607777645,Dibson
22,mfw,cosine_delta,162,491,-0.502292336193049,-3.180445586545764,AM La Scampia
22,mfw,burrows_delta,203,491,-0.3083469427272727,-2.3277446983351315,Sofiane
22,char,cosine_delta,104,491,-0.876192888048612,-2.6879953489122017,UZI (FRA)
22,char,burrows_delta,332,491,0.3629454397883904,-2.4817495833593273,Dibson
23,mfw,cosine_delta,154,491,-0.44188989860206157,-2.390240923158093,Worms-T
23,mfw,burrows_delta,206,491,-0.28842734895002553,-2.231466504798141,ISK
23,char,cosine_delta,71,491,-1.1138355917520877,-2.538573146959013,Zkr
23,char,burrows_delta,347,491,0.42798243927442514,-2.4294661145624232,Zkr
24,mfw,cosine_delta,180,491,-0.3225514755554128,-3.385756640242961,Beendo Z
24,mfw,burrows_delta,197,491,-0.3346269901562992,-2.7834051598311027,Rohff
24,char,cosine_delta,93,491,-0.9814185488703757,-2.471597062784452,Djadja & Dinaz
24,char,burrows_delta,341,491,0.4104069028082688,-2.8528026914011084,Rohff
25,mfw,cosine_delta,151,491,-0.4749338101450478,-3.0908178853478647,Zkr
25,mfw,burrows_delta,204,491,-0.3074940541788586,-2.537778754879931,L’Entourage
25,char,cosine_delta,80,491,-1.0544017286793834,-2.824707626623448,JuL
25,char,burrows_delta,345,491,0.4647778853824448,-3.0141099980415005,L’Entourage
26,mfw,cosine_delta,157,491,-0.45852103534816363,-2.5313776674176935,Mister You
26,mfw,burrows_delta,211,491,-0.2577595419822718,-2.3487617237116454,Vin’s
26,char,cosine_delta,88,491,-0.9712471373232775,-2.7447441465087996,Beendo Z
26,char,burrows_delta,347,491,0.4323513657780188,-2.6101861964817887,L’Entourage
27,mfw,cosine_delta,166,491,-0.38719897154848637,-3.3318723678094675,SCH
27,mfw,burrows_delta,190,491,-0.4022129661044742,-2.1395551744736894,Nakk Mendosa
27,char,cosine_delta,72,491,-1.1230921910339935,-2.6307206977807716,Kerchak
27,char,burrows_delta,339,491,0.3413172226498062,-2.3287414356165694,Nakk Mendosa
28,mfw,cosine_delta,146,491,-0.6015366701786737,-2.945234603008741,Rimkus
28,mfw,burrows_delta,175,491,-0.4133895144144706,-2.2927294454824403,Zkr
28,char,cosine_delta,92,491,-0.9909698226628266,-2.778387340370006,Beendo Z
28,char,burrows_delta,351,491,0.4635313958046616,-2.2142002181936324,Zkr
29,mfw,cosine_delta,134,491,-0.6110829576577707,-2.696294529959468,Rimkus
29,mfw,burrows_delta,217,491,-0.26677883783590883,-2.2522789226006807,Assaf
29,char,cosine_delta,83,491,-1.0190375040176796,-2.8139692931016436,Beendo Z
29,char,burrows_delta,356,491,0.4061746157336857,-2.30487877426048,L’Entourage
