rep,features,metric,rang,artiste,distance
4,char,cosine_delta,21,BFG,0.8869350632550531
4,char,cosine_delta,22,Zbig,0.887203007223415
4,char,cosine_delta,23,Heuss L’enfoiré,0.8893738745092447
4,char,cosine_delta,24,13 Block,0.8894694647727733
4,char,cosine_delta,25,Gambi,0.8896268435780079
4,char,burrows_delta,1,Worms-T,0.7690504594365134
4,char,burrows_delta,2,Zkr,0.7751900956555425
4,char,burrows_delta,3,Lacrim,0.7806611717690013
4,char,burrows_delta,4,Panama Bende,0.7834215512894246
4,char,burrows_delta,5,Zikxo,0.785435848890613
4,char,burrows_delta,6,Sam’s,0.7946473371484418
