rep,variante,features,metric,top1,sep_top1
21,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.940976217252732
21,"Genius, invités retirés",mfw,burrows_delta,Panama Bende,-2.0480638443010997
21,LRFAF (corpus publié),char,cosine_delta,Zkr,-2.461259238407477
21,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.1182305296597987
21,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.485946888448163
21,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.067607409161559
21,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.4857504997301003
21,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.0667657697510955
22,LRFAF (corpus publié),mfw,cosine_delta,SCH,-3.0200063315308565
22,LRFAF (corpus publié),mfw,burrows_delta,Lacrim,-2.347246224002458
22,"Genius, invités inclus",mfw,cosine_delta,SCH,-3.2641090080593815
22,"Genius, invités inclus",mfw,burrows_delta,Lacrim,-2.31311606818301
22,"Genius, invités retirés",mfw,cosine_delta,SCH,-3.288802906987298
22,"Genius, invités retirés",mfw,burrows_delta,Lacrim,-2.3132753354591022
22,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.757732699790044
22,LRFAF (corpus publié),char,burrows_delta,S-Crew,-2.26238501610707
22,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.6842578402812594
22,"Genius, invités inclus",char,burrows_delta,S-Crew,-2.253363460828645
22,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.66040092236121
22,"Genius, invités retirés",char,burrows_delta,S-Crew,-2.2520692440168655
23,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.9193116890050144
23,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.331781109989239
23,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.959840422863192
23,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.2066715900617297
23,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.9461228749378243
23,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.1903317468587122
23,LRFAF (corpus publié),char,cosine_delta,Zkr,-2.440356333030807
23,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.3224936694765312
23,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.46479122134857
23,"Genius, invités inclus",char,burrows_delta,Zkr,-2.2433191092920723
23,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.4821594908695683
23,"Genius, invités retirés",char,burrows_delta,Zkr,-2.2313056986859716
24,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.8996804363048017
24,LRFAF (corpus publié),mfw,burrows_delta,Rimkus,-1.995149131812277
24,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.9444746269287156
24,"Genius, invités inclus",mfw,burrows_delta,Rimkus,-2.0446095119217915
24,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.9078323123555987
24,"Genius, invités retirés",mfw,burrows_delta,Rimkus,-1.99859767569255
24,LRFAF (corpus publié),char,cosine_delta,Zola,-2.3038270959706164
24,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.238123100075827
24,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.206745047581724
24,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.268510209933266
24,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.2562031119490285
24,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.264605229076876
25,LRFAF (corpus publié),mfw,cosine_delta,ISK,-2.707092768764454
25,LRFAF (corpus publié),mfw,burrows_delta,ISK,-2.329013523211518
25,"Genius, invités inclus",mfw,cosine_delta,ISK,-2.7668216092063154
25,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.340438548583585
25,"Genius, invités retirés",mfw,cosine_delta,ISK,-2.7272278254231965
25,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.3201774642764312
25,LRFAF (corpus publié),char,cosine_delta,ISK,-2.6597359987585545
25,LRFAF (corpus publié),char,burrows_delta,ISK,-2.5052060678184533
25,"Genius, invités inclus",char,cosine_delta,ISK,-2.5785483825201583
25,"Genius, invités inclus",char,burrows_delta,ISK,-2.4786916612031895
25,"Genius, invités retirés",char,cosine_delta,ISK,-2.633820915999236
25,"Genius, invités retirés",char,burrows_delta,ISK,-2.494608116475145
26,LRFAF (corpus publié),mfw,cosine_delta,Werenoi,-2.999924069230562
