rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
17,char,cosine_delta,Beendo Z,0.7975206606193788,-2.470734767922924,0.027834860941646444
17,char,burrows_delta,S-Crew,0.7548511915257653,-1.9829764344358038,0.010490434663514514
18,mfw,cosine_delta,SCH,0.7503051593557095,-2.6603368142239536,0.024594018862876155
18,mfw,burrows_delta,Guizmo,0.6723475332956393,-2.1976478895601437,0.01989939309529043
18,char,cosine_delta,Beendo Z,0.7972877506850966,-2.5657493911768827,0.024309651648377617
18,char,burrows_delta,Guizmo,0.741394272576307,-2.182001758741646,0.01977807885076588
19,mfw,cosine_delta,Werenoi,0.7483361074485297,-2.5849930664490017,0.013731799801528166
19,mfw,burrows_delta,Zkr,0.694775173530804,-1.987425664570794,0.00832315885343371
19,char,cosine_delta,Beendo Z,0.8043475346893296,-2.4276128048175734,0.006826783257718572
19,char,burrows_delta,Zkr,0.7664781079266557,-1.919126380128228,0.0017235762676431898
20,mfw,cosine_delta,Lacrim,0.7330559894490449,-2.7332310623741565,0.021756236762547454
20,mfw,burrows_delta,Lacrim,0.6724489036965013,-2.2039634564615875,0.014015503885327019
20,char,cosine_delta,Beendo Z,0.7893996184972827,-2.6547151033659553,0.02567522859518956
20,char,burrows_delta,Zkr,0.7493554317854754,-2.076218674397805,0.011974105681654357
21,mfw,cosine_delta,SCH,0.7591553787579498,-2.4632345636323936,0.003054987929734021
21,mfw,burrows_delta,Zkr,0.6504455963388447,-2.4896115717626115,0.03748932855784115
21,char,cosine_delta,Zkr,0.7966291927117606,-2.4941179038540615,0.025816022335274358
21,char,burrows_delta,Zkr,0.7551907955014682,-1.9509290207252985,0.004395891901772031
22,mfw,cosine_delta,SCH,0.7212386422327975,-2.8870653674860844,0.015038066392822569
22,mfw,burrows_delta,ISK,0.6856457120149344,-2.0176902499101224,0.005472280081344483
22,char,cosine_delta,Beendo Z,0.7982440849304732,-2.5518881046681203,0.023538570881677656
22,char,burrows_delta,ISK,0.7597624386870575,-1.9544116159968241,0.009095663291867173
