rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
20,char,burrows_delta,324,493,0.34927340593697154,-2.601845940086906,L’Entourage
21,mfw,cosine_delta,128,493,-0.6200693665823235,-3.1126044400765047,ISK
21,mfw,burrows_delta,192,493,-0.32580125718174424,-2.717271571913293,ISK
21,char,cosine_delta,54,493,-1.2852612448647978,-3.4679142207075775,ISK
21,char,burrows_delta,337,493,0.32685219658840664,-2.478968549826362,ISK
22,mfw,cosine_delta,175,493,-0.3910369788891243,-2.8632137109772806,Rimkus
22,mfw,burrows_delta,226,493,-0.19208029202506693,-2.1521253631435355,ISK
22,char,cosine_delta,69,493,-1.1036904850597684,-2.627359680766745,MC Circulaire
22,char,burrows_delta,342,493,0.42089934126446393,-2.324621595033923,Bigflo & Oli
23,mfw,cosine_delta,161,493,-0.4670472688781946,-2.6132050985253867,Koba LaD
23,mfw,burrows_delta,186,493,-0.3724366037545749,-2.614645787385333,Mister You
23,char,cosine_delta,56,493,-1.292308954359243,-2.6036905937107298,Maes
23,char,burrows_delta,334,493,0.35643819249398095,-2.3910466709333638,Mister You
24,mfw,cosine_delta,146,493,-0.4675253665400354,-3.2050281916992707,Rimkus
24,mfw,burrows_delta,190,493,-0.33203215929094826,-2.4237344018614078,L’Entourage
24,char,cosine_delta,50,493,-1.2610134387913599,-2.7554278033442814,Nahir
24,char,burrows_delta,350,493,0.3994647037643964,-2.6870333226933614,L’Entourage
25,mfw,cosine_delta,171,493,-0.4369502808620473,-2.8046638678427143,Mister You
25,mfw,burrows_delta,184,493,-0.39972933671902494,-2.7834175071745726,Zkr
25,char,cosine_delta,78,493,-1.0901870823594608,-2.916978104160465,Lemon Haze
25,char,burrows_delta,343,493,0.41726142019598833,-2.649729305062905,Lacraps
26,mfw,cosine_delta,138,493,-0.5495246116113498,-2.669049837298054,Beendo Z
26,mfw,burrows_delta,189,493,-0.35277191828509463,-2.468617836981425,Beendo Z
26,char,cosine_delta,62,493,-1.1699810147378236,-2.76160110760172,Beendo Z
26,char,burrows_delta,334,493,0.36384342846219814,-2.404337731242251,L’Animalerie
27,mfw,cosine_delta,144,493,-0.5047715295231096,-2.7060760679316656,Rimkus
27,mfw,burrows_delta,183,493,-0.32022246522349357,-2.5096016038081075,Panama Bende
27,char,cosine_delta,72,493,-1.2055418396057374,-2.508234327091459,Beendo Z
27,char,burrows_delta,337,493,0.4135553071079288,-3.0819854090533423,L’Entourage
28,mfw,cosine_delta,137,493,-0.588989213648945,-3.202060330055186,Rimkus
28,mfw,burrows_delta,189,493,-0.37453569052705143,-2.775992041432401,Zkr
28,char,cosine_delta,58,493,-1.219013496689489,-2.504541975410882,ISK
28,char,burrows_delta,334,493,0.2960783346123376,-3.12489078358849,Zkr
29,mfw,cosine_delta,123,493,-0.7246960545853763,-2.601939583923443,Werenoi
29,mfw,burrows_delta,202,493,-0.33914121126000724,-2.20291353145725,Despo Rutti
29,char,cosine_delta,56,493,-1.271380022761882,-2.984780958077806,Maes
29,char,burrows_delta,336,493,0.3130635124647673,-2.2938356405473765,Despo Rutti
