rep,features,metric,rang,artiste,distance
2,mfw,burrows_delta,8,S-Pion,0.7173961214389433
2,mfw,burrows_delta,9,Limsa d’Aulnay,0.7190508685974767
2,mfw,burrows_delta,10,Lacrim,0.724359031903871
2,mfw,burrows_delta,11,Deen Burbigo,0.7254823247006015
2,mfw,burrows_delta,12,Lemon Haze,0.7261524067273822
2,mfw,burrows_delta,13,Niro,0.7269448995968582
2,mfw,burrows_delta,14,​DA Uzi,0.7276078444445343
2,mfw,burrows_delta,15,Lesram,0.7293639074670701
2,mfw,burrows_delta,16,L’Animalerie,0.7310372946480836
2,mfw,burrows_delta,17,YL,0.7312416730187952
2,mfw,burrows_delta,18,Panama Bende,0.7312716827201737
2,mfw,burrows_delta,19,Hatik,0.7318766262389201
2,mfw,burrows_delta,20,Intouchable,0.7327393537311727
2,mfw,burrows_delta,21,Beendo Z,0.7350331447248707
2,mfw,burrows_delta,22,Timal,0.7361791634177566
2,mfw,burrows_delta,23,Shtar Academy,0.7386548705167226
2,mfw,burrows_delta,24,ASHE 22,0.7393880035064125
2,mfw,burrows_delta,25,Rimkus,0.7394121488774396
2,char,cosine_delta,1,SCH,0.8096110275085009
2,char,cosine_delta,2,ISK,0.8139574694340618
2,char,cosine_delta,3,Zkr,0.8154042496370237
2,char,cosine_delta,4,Beendo Z,0.8198764900280779
2,char,cosine_delta,5,Maes,0.8201910174860888
2,char,cosine_delta,6,​DA Uzi,0.820355968912694
2,char,cosine_delta,7,GLK,0.8287258863847097
2,char,cosine_delta,8,Kerchak,0.8295651725485711
2,char,cosine_delta,9,Lemon Haze,0.8326326686485548
2,char,cosine_delta,10,Rimkus,0.840083310348066
2,char,cosine_delta,11,ASHE 22,0.8415072409402818
2,char,cosine_delta,12,Niro,0.8443853078126252
2,char,cosine_delta,13,Fresh laDouille,0.8488845287605062
2,char,cosine_delta,14,Worms-T,0.8494705947545452
2,char,cosine_delta,15,UZI (FRA),0.8512257210006025
2,char,cosine_delta,16,PSO Thug,0.8544421873709588
2,char,cosine_delta,17,Werenoi,0.8549828293491237
2,char,cosine_delta,18,Lesram,0.8551212831553223
2,char,cosine_delta,19,Roshi,0.8567449668892462
2,char,cosine_delta,20,Nahir,0.8583890072038163
