url,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl,d_n_french
https://genius.com/Yl-freestyle-booska-15-fevrier-lyrics,2,-5,1,0,-0.0528617066073922,12
https://genius.com/Nessbeal-amnezia-lyrics,0,0,0,0,4.440892098500626e-16,0
https://genius.com/Kanoe-bel-maman-rio-lyrics,1,-6,3,1,-0.08406133406133742,10
https://genius.com/Kanoe-bel-croire-lyrics,2,-9,4,3,-0.04729332156516275,12
https://genius.com/Krisy-oh-my-god-lyrics,-3,-4,1,0,-0.012877077775498513,1
https://genius.com/Elams-frangin-lyrics,80,-13,23,0,-0.7616583382443758,164
https://genius.com/D-ace-meilleur-lyrics,-3,-4,0,1,-0.01245919910835136,3
https://genius.com/Ol-kainry-abattu-du-vecu-lyrics,-2,-5,0,0,-0.013150747503174465,3
https://genius.com/Gims-ma-cabeza-lyrics,-4,-4,0,0,-0.0032362459546932953,0
https://genius.com/Sefyu-societe-secrete-lyrics,59,-9,6,1,-0.44021828796243856,122
https://genius.com/Lorenzo-honore-2-4-lyrics,0,0,0,0,0.0,1
https://genius.com/S-pion-dupont-lyrics,55,-5,11,1,-0.7183567727609157,117
https://genius.com/47ter-ne-ten-fais-pas-lyrics,-4,-4,0,0,-0.003987068965519924,1
https://genius.com/Serane-glory-lyrics,-4,-4,0,0,-0.00497711670480161,1
https://genius.com/Belabeu-carte-beu-lyrics,2,-2,0,1,-0.11030534351145072,10
https://genius.com/Seth-gueko-oblige-lyrics,19,-6,6,0,-0.25767797329810715,46
https://genius.com/Medine-interpol-lyrics,0,0,0,0,-4.440892098500626e-15,1
https://genius.com/Bigflo-and-oli-ferme-les-yeux-lyrics,1,-5,0,0,-0.04146475829830276,9
https://genius.com/A2h-jpeux-plus-lyrics,-4,-4,0,5,-0.004097461037534167,1
https://genius.com/Lemon-haze-ma-petite-lyrics,-4,-4,0,0,-0.004426060158108314,0
https://genius.com/La-fouine-autopsie-5-lyrics,24,-16,9,0,-0.10341777232577432,55
https://genius.com/Retro-x-luc-11-lyrics,-4,-4,0,0,-0.004756144214564273,0
https://genius.com/Guizmo-grand-final-lyrics,-1,-3,0,1,-0.014753563268415704,4
https://genius.com/Mac-tyer-mine-dor-lyrics,-4,-4,0,0,-0.0014457697333662978,1
https://genius.com/Taipan-tarrives-bien-lyrics,0,0,0,0,2.220446049250313e-15,0
https://genius.com/Kery-james-pdm-lyrics,45,-11,1,2,-0.35438688504360094,97
https://genius.com/S-crew-plus-pareil-lyrics,-4,-4,0,0,-0.0010224460855874362,2
https://genius.com/Mysa-interlude-chante-le-blues-lyrics,3,0,0,0,-0.04976699591964451,4
https://genius.com/Kofs-freestyle-obelix-lyrics,2,0,0,0,-0.01891582636058331,4
https://genius.com/Tragedie-gentleman-lyrics,-3,-5,0,0,-0.013332665608577265,2
https://genius.com/Sniper-blues-de-la-tess-lyrics,-4,-4,0,0,-0.0015363564346957403,2
https://genius.com/Sefyu-malik-and-boubakar-lyrics,30,-9,1,0,-0.2889682134965099,67
https://genius.com/Yl-tata-fatima-lyrics,-4,-4,0,1,-0.003365638051980646,3
https://genius.com/Diams-diams-cest-qui-lyrics,-4,-4,0,0,-0.0033763044812813447,0
https://genius.com/Romeo-elvis-vinci-lyrics,2,-7,3,0,-0.04549256773647903,14
https://genius.com/Carre-rouge-tueurs-de-mots-lyrics,-4,-4,0,0,-0.0007650414937803163,1
https://genius.com/Ma2x-reste-avec-moi-lyrics,11,-7,0,0,-0.22512871133820944,27
https://genius.com/Rk-mon-reuf-lyrics,-4,-4,0,0,-0.002907313188924565,0
https://genius.com/Def-bond-mars-2000-lyrics,10,-9,4,0,-0.10599690253781002,28
https://genius.com/Moha-la-squale-tetais-ou-lyrics,-4,-4,0,0,-0.0031821461886369917,2
https://genius.com/Naps-lolita-lempicka-lyrics,45,-7,18,0,-0.5412830840045983,100
https://genius.com/Maj-trafyk-baiser-une-etoiles-2007-lyrics,35,-11,8,0,-0.3697822141560798,78
https://genius.com/Dry-intro-maintenant-ou-jamais-lyrics,2,-2,0,0,-0.12264673311184549,4
https://genius.com/Lefa-new-life-lyrics,-4,-4,0,0,-0.0014536117477268462,13
https://genius.com/Niska-freestyle-couvre-feu-oklm-lyrics,-3,-3,0,1,-0.01757006845191178,3
https://genius.com/Landy-deter-lyrics,-4,-4,0,0,-0.0020486805521695572,0
https://genius.com/Cut-killer-prise-dotage-lyrics,2,0,0,0,-0.07080510285051789,3
https://genius.com/Laylow-raw-lyrics,-2,-2,0,0,-0.02168228834895558,5
https://genius.com/Guizmo-pillave-lyrics,-2,-4,0,0,-0.016421542023953517,3
https://genius.com/Ixzo-mes-losa-lyrics,-4,-4,0,0,-0.00047922002808764574,13
https://genius.com/Grems-canon-lyrics,-4,-4,0,0,-0.0019721744119296503,3
https://genius.com/Tlf-oss-oreillesensiblesabstenir-lyrics,-4,-4,0,0,-0.0013353877760629018,9
https://genius.com/Mc-solaar-matiere-grasse-contre-matiere-grise-lyrics,0,0,0,0,-3.552713678800501e-15,2
https://genius.com/Swift-guad-4-saisons-lyrics,-4,-4,0,0,-0.0026875784965190164,0
https://genius.com/Niro-rester-soi-meme-lyrics,-1,-2,0,1,-0.024056142410015635,5
https://genius.com/Kery-james-symphonie-damour-lyrics,-2,-5,0,0,-0.012163544551225591,4
https://genius.com/Georgio-cafe-froid-lyrics,66,-10,32,0,-0.8209288653733124,138
https://genius.com/Akhenaton-lettre-aux-hirondelles-lyrics,1,-1,1,0,-0.03535578042157361,2
https://genius.com/Orelsan-seul-avec-du-monde-autour-lyrics,-4,-4,0,0,-7.726269315666556e-05,0
https://genius.com/Hayce-lemsi-gennaro-lyrics,-4,-4,0,-1,-0.0010507533703449923,0
https://genius.com/Piloophaz-pris-au-piege-lyrics,36,-5,5,0,-0.336991928576035,72
https://genius.com/Timal-sur-ecoute-lyrics,2,-8,4,0,-0.057475646571844674,15
https://genius.com/Timal-quel-choix-lyrics,4,-3,0,0,-0.07693103091717379,11
https://genius.com/Sofiane-need-money-gang-lyrics,39,-10,8,0,-0.30148239917977104,73
https://genius.com/D-de-kabal-generation-plus-rien-a-perdre-lyrics,9,-6,0,0,-0.12007296397895928,27
https://genius.com/La-fouine-joue-pas-les-gangstas-lyrics,9,2,0,3,-0.09345225240789734,17
https://genius.com/Kaaris-lil-du-mur-lyrics,-4,-4,0,0,-0.0002469153389013101,2
