,cosine_distance_char4,rang,cosine_distance_word1,burrows_delta,n_songs,n_words,z_cosine_distance_char4,z_cosine_distance_word1,z_burrows_delta,score_agrege,rang_agrege
Limsa d’Aulnay,0.17685683870473667,171,0.542420242008111,1.0228088485673785,26,13042,0.8682718849360528,1.152415715307803,0.27324905292066365,0.7646455510548398,173
Rim’K,0.16642891362133616,157,0.519013788372211,1.2074356001146762,36,17450,0.5439810829390205,0.5525644965137078,1.2371536390565157,0.7778997395030812,174
Dandyguel,0.18350570440281044,180,0.5310505742363557,1.060056129439745,28,11172,1.0750403429326634,0.8610384235462301,0.4677107143704492,0.8012631602831143,175
Vegedream,0.17560176110152614,169,0.5248256630910415,1.1396929538280665,71,32948,0.8292410979618016,0.7015088939777454,0.8834809080714066,0.8047436333369845,176
Alrima,0.17464988444195828,167,0.4973424825024064,1.2928850859702175,63,26186,0.7996393466196393,-0.0028190503096199825,1.6832707407702752,0.8266970123600982,177
Suzuya,0.16327270304765706,146,0.5194508558411315,1.2626758591510046,75,36292,0.44582828168432087,0.5637654865485706,1.5255535517355223,0.845049106656138,178
Le Juiice,0.17403958140369957,164,0.5208053646400822,1.1952640820473739,36,14989,0.7806599561699333,0.5984782955266775,1.1736082319744734,0.8509154945570282,179
Chilla,0.177291871485858,172,0.5447724952435158,1.1142474898566233,40,20045,0.8818006673502464,1.2126983190767808,0.7506345073582067,0.9483778312617447,180
Freeze Corleone,0.168101612402208,160,0.5614333669783241,1.1190270446675823,45,27992,0.5959991809604438,1.639676466717582,0.7755877428095214,1.003754463495849,181
Busta Flex,0.1861129127541553,184,0.5405749834407356,1.1242609700358137,25,12609,1.156120105250564,1.1051261678245108,0.8029131689660803,1.0213864806803852,182
Prince Waly,0.19359642933325938,198,0.5288186744830843,1.1409625035400048,27,12027,1.388844791493166,0.8038401906121863,0.8901090092507276,1.0275979971186933,183
Lala &ce,0.19241866092289206,197,0.5608634199726155,0.9964425280969539,49,16336,1.3522181894309044,1.6250700931361515,0.13559501845394561,1.0376277670070004,184
Rockin’ Squat,0.1715176643301799,162,0.558991383121801,1.1491803267292982,33,15417,0.7022326080828668,1.5770942825303873,0.9330128538660304,1.070779914826428,185
Krisy,0.18669787554726414,188,0.522817795484515,1.2742213716961108,40,18591,1.1743114570102398,0.6500520671688862,1.5858306914146332,1.1367314051979196,186
J9ueve,0.1827595152382021,178,0.5459992524395245,1.1901481048223164,42,18977,1.051835124186172,1.2441371611430394,1.1468985928324111,1.1476236260538741,187
Moubarak,0.17970959372715734,175,0.5363779812209233,1.2675296430072762,37,16552,0.9569877326931963,0.9975670759604368,1.5508943242940096,1.168483044315881,188
Abou Debeing,0.18770221510838658,190,0.5427476148658746,1.208606807565553,33,16751,1.2055447157025372,1.1608054957839202,1.2432683121672936,1.2032061745512503,189
VII,0.17968917158785258,174,0.5486264161815704,1.2322470531909209,37,18862,0.9563526387621729,1.311465061266311,1.3666899776881356,1.2115025592388733,190
Luidji,0.1895623833323017,192,0.5297526366324388,1.2772149218238507,41,11908,1.2633927957719915,0.8277753984959882,1.6014595029101157,1.2308758990593651,191
OBOY,0.18814178958977856,191,0.5507784866330023,1.2158074666092267,38,16805,1.2192147373001174,1.3666174608268427,1.2808617173332815,1.2888979718200806,192
Zuukou Mayzie,0.20607834643439416,206,0.5824465392976823,0.9671210162772794,39,15708,1.777011265150599,2.1781936305122964,-0.017487562908486878,1.3125724442514695,193
Still Fresh,0.19138077422550537,195,0.5467027588057989,1.2404116517969688,42,17800,1.3199416716399055,1.2621663405225176,1.4093159458881548,1.3304746526835258,194
MHD,0.1970338141493606,200,0.560230277744681,1.186437110939901,30,13679,1.4957416352919697,1.608844177711101,1.1275241306138855,1.4107033145389856,195
Grand Corps Malade,0.1864134926351717,187,0.5563287407713831,1.2808769046971213,30,14867,1.1654676302758582,1.5088571508420037,1.6205780870606488,1.4316342893928369,196
Ateyaba,0.20755127404734797,207,0.5665001384149531,1.119063890212233,38,13060,1.8228168183232734,1.7695256557015717,0.7757801070750995,1.4560408603666481,197
Boostee,0.20071798489907555,202,0.5611289831315607,1.2019635523619192,46,16986,1.6103131034952551,1.6318758394075887,1.2085850167943966,1.4835913198990802,198
Lycos,0.1839407277117283,182,0.5278203234747805,1.469857423439722,78,28523,1.088568830777378,0.7782548508409002,2.607212944575647,1.4913455420646418,199
Nemir,0.21754828482895672,209,0.5694870126548082,1.0745248149140594,28,12090,2.133706915635297,1.8460720723878552,0.5432492382688995,1.507676075430684,200
USKY,0.1829796098817067,179,0.5386912016140977,1.437556432212881,57,18960,1.0586796946914752,1.0568493616825583,2.4385750125351775,1.5180346896364039,201
Luni Sacks,0.20974858171389388,208,0.5440430748978436,1.260679773018987,32,11432,1.891149363841143,1.1940050266126223,1.5151323285874725,1.5334289063470792,202
McFly & Carlito,0.20162265405937796,203,0.5744351465158056,1.176183395681088,28,11102,1.638446781594214,1.972880865101469,1.0739912428819094,1.5617729631925308,203
Serane,0.18675295831590155,189,0.5592098216183268,1.3766285688022788,76,29221,1.1760244377877942,1.582692336828181,2.120481093464662,1.6263992893602124,204
Meryl,0.22288859838758912,211,0.5797377940251243,1.07083207908725,27,12226,2.2997816191831086,2.1087749916009084,0.5239700982254384,1.6441755696698186,205
Spider ZED,0.1898655828877317,193,0.5367024333607716,1.4880709569395056,46,19925,1.2728217882330188,1.0058820054476558,2.7023026773638175,1.660335490348164,206
MRC,0.22917530658995555,213,0.547988254413029,1.2286156863044186,25,12676,2.4952875926688627,1.2951105070650626,1.3477312343505286,1.7127097780281513,207
Butter Bullets,0.2041661904947365,205,0.5581876350388202,1.361914985585473,28,11511,1.7175464552046535,1.5564961485849713,2.0436640004794273,1.772568868089684,208
Franglish,0.20034137213409786,201,0.5696189399674539,1.361921202800695,63,31434,1.5986010846017413,1.849453052715495,2.0436964594931686,1.8305835322701351,209
Moha K,0.22693051077333815,212,0.5772384442064407,1.2030671926877403,30,14451,2.4254782461432303,2.044722655512255,1.2143469335404153,1.8948492783986335,210
Eddy de Pretto,0.1841809750778256,183,0.5526659275780068,1.5851417396681684,44,19637,1.0960401168104341,1.414988041388706,3.20909257572795,1.9067069113090298,211
Therapie TAXI,0.20282491384134227,204,0.5631545443699344,1.4963377770258661,69,27901,1.6758350238172628,1.6837861115265984,2.745462326370378,2.035027820571413,212
Lonepsi,0.22024412409374894,210,0.5942309390636606,1.4993347851578824,53,20628,2.217542949193516,2.480199507709214,2.761109191512762,2.4862838828051643,213
Odezenne,0.2595946160649891,216,0.5772077170596728,1.3646073123172804,32,7725,3.4412765777218426,2.043935192502031,2.057720176317523,2.514310648847132,214
Ridsa,0.25372555712130684,215,0.5856317612314501,1.3729457057932302,26,11214,3.258758788555493,2.259823222453974,2.1012534977084605,2.539945169572643,215
Riski,0.2509923365686526,214,0.5683039303303681,1.4947509052132737,25,8394,3.1737602602801083,1.8157525124370617,2.7371775409590087,2.5755634378920593,216
