url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/La-feve-trozone-lyrics,True,False,-264,-49,-20,-28,-0.05955394816154236
https://genius.com/Kaaris-kadirov-lyrics,True,False,-61,-32,-6,-7,-0.0502440424921069
https://genius.com/Melaaz-rudboy-lyrics,True,True,0,0,0,0,3.552713678800501e-15
https://genius.com/Rochdi-moi-et-le-diable-lyrics,True,False,-54,-5,0,-6,0.03477956748985278
https://genius.com/Jul-jmen-bats-les-couilles-lyrics,True,False,-323,-40,-37,-34,-0.1284381251136555
https://genius.com/Dika-menace-lyrics,True,False,-343,-106,-28,-27,0.1264050645758834
https://genius.com/Elams-maman-tavais-raison-lyrics,True,False,-78,-3,-2,-10,-0.3447744305416607
https://genius.com/Usky-sunset-interlude-lyrics,True,True,6,-3,1,0,-0.14390681003584094
https://genius.com/Krisy-interlude-x-dickslap-lyrics,True,True,0,0,0,0,-1.3322676295501878e-15
https://genius.com/Kery-james-vrai-peura-lyrics,True,False,-435,-123,-4,-52,-0.28597474779927
https://genius.com/Seth-gueko-nervous-breakdown-lyrics,True,False,-367,-128,-4,-61,-0.19602257947036694
https://genius.com/Fixpen-sill-limpact-lyrics,True,False,-22,-13,0,-3,0.01667475139461816
https://genius.com/Zkr-59-carats-lyrics,True,False,-199,-17,-2,-14,0.07609051857756466
https://genius.com/Le-peuple-de-lherbe-time-bends-lyrics,True,True,0,0,0,0,4.440892098500626e-15
https://genius.com/Saian-supa-crew-pitchy-and-skratchee-show-lyrics,True,False,-497,-209,-8,-59,-0.17191659272404314
https://genius.com/Sat-lartificier-sale-epoque-lyrics,True,False,-523,-140,-9,-48,-0.13810564532502223
https://genius.com/100-blaze-pour-ma-team-lyrics,False,False,-351,-90,-2,-59,-0.016467642526960535
https://genius.com/Ridsa-un-poco-lyrics,True,False,-64,-16,-4,-8,0.1428571428571428
https://genius.com/Niro-pas-de-blesses-lyrics,True,False,-585,-182,-19,-54,-0.18867869728537068
https://genius.com/Alonzo-tout-va-bien-lyrics,True,False,-426,-106,-30,-46,-0.09283625730994549
https://genius.com/Plk-all-night-lyrics,True,False,-406,-63,-7,-45,0.0043601293601289726
https://genius.com/Ademo-on-paye-lyrics,True,False,-194,-96,0,-28,-0.5017942583732102
https://genius.com/Hyacinthe-ne-vous-inquietez-pas-lyrics,True,False,-164,-77,9,-20,-0.6450900032143974
https://genius.com/Youssoupha-la-meme-adresse-lyrics,True,False,-477,-166,5,-50,-0.42533288386988133
https://genius.com/Mysa-interlude-chante-le-blues-lyrics,True,True,3,0,0,0,-0.04976699591964451
https://genius.com/Busta-flex-oublimagueule-lyrics,True,True,12,-1,2,1,-0.18330975954738138
https://genius.com/Oxmo-puccino-toucher-lhorizon-lyrics,True,False,30,-1,10,0,-0.42018752566501005
https://genius.com/Lucio-bukowski-hissez-haut-lyrics,True,False,-52,-32,0,-4,-0.13662790697673977
https://genius.com/Therapie-taxi-pvp-lyrics,True,False,-62,-5,-2,-4,-0.00832320074112447
https://genius.com/Maes-chrome-lyrics,True,False,-414,-66,-35,-28,-0.03164909882361533
https://genius.com/Lacraps-par-le-bas-lyrics,True,False,-313,-109,-13,-34,-0.21892548186371696
https://genius.com/Stupeflip-passe-mon-truc-lyrics,False,False,-13,-7,-1,-2,-0.06403317842225897
https://genius.com/Mister-you-ma-meuf-et-mon-pote-lyrics,True,True,0,0,0,0,4.884981308350689e-15
https://genius.com/Nelick-mini-golf-lyrics,True,True,0,0,0,0,-1.3322676295501878e-15
https://genius.com/Benab-loin-lyrics,True,False,-297,-56,-12,-27,-0.039833933829584556
https://genius.com/Roshi-de-ouf-lyrics,True,False,-315,-77,-38,-20,-0.09018993663452024
https://genius.com/Aladin-135-jecris-ma-vie-lyrics,True,False,-441,-168,-34,-42,-0.15580950101711055
https://genius.com/Kofs-un-mec-plein-lyrics,True,False,-402,-102,-26,-33,-0.05921041921042436
https://genius.com/Ninho-love-lyrics,True,False,-231,-74,-18,-20,-0.01731601731601673
https://genius.com/Chilla-si-jetais-un-homme-lyrics,True,False,-274,-85,-22,-31,-0.06226660877117096
https://genius.com/Pnl-mira-lyrics,True,False,-207,-76,-11,-33,-0.1819133693375905
https://genius.com/47ter-la-seule-lyrics,True,False,-225,-43,-2,-23,0.009220630025997156
https://genius.com/Jul-ibiza-lyrics,True,False,-24,-8,3,-3,-0.14018633054098162
https://genius.com/Lycos-toi-lyrics,True,False,-103,-35,-8,-14,-0.06616948161146485
